fixture_id,p,q,minimal_crossing_number,tau_index,tau,channel,bandwidth,grid_size,vertex_count,edge_count,chromatic_number,odd_degree_vertex_count,odd_degree_vertex_fraction,neighbor_diagonal_sign_agreement,interior_four_spin_correlation,initial_diagonal_mismatch,effective_mode_count,polygon_length,mean_curvature,maximum_curvature,geometric_bending_energy,median_edge_length,spectral_dirichlet_energy,spectral_bending_energy
trefoil_T_2_3,2,3,3,0,0.0,curvature_density,0.16,9,82,240,4,48,0.5853658318519592,0.5892857313156128,-0.061224489795918366,0.0,40,15.771820077067739,0.8299925027238966,1.1894287526359542,16.23050332374473,0.09417238839064505,8.160578438945542,204.0144609736382
trefoil_T_2_3,2,3,3,0,0.0,curvature_density,0.16,17,290,864,4,112,0.38620689511299133,0.7979167103767395,0.48444444444444446,0.0,40,15.771820077067739,0.8299925027238966,1.1894287526359542,16.23050332374473,0.09417238839064505,8.160578438945542,204.0144609736382
trefoil_T_2_3,2,3,3,0,0.0,signed_turning,0.16,9,82,240,4,44,0.5365853309631348,0.598214328289032,0.1020408163265306,0.0,40,15.771820077067739,0.8299925027238966,1.1894287526359542,16.23050332374473,0.09417238839064505,8.160578438945542,204.0144609736382
trefoil_T_2_3,2,3,3,0,0.0,signed_turning,0.16,17,290,864,4,102,0.35172414779663086,0.7979167103767395,0.5733333333333334,0.0,40,15.771820077067739,0.8299925027238966,1.1894287526359542,16.23050332374473,0.09417238839064505,8.160578438945542,204.0144609736382
trefoil_T_2_3,2,3,3,1,0.01,curvature_density,0.16,9,82,240,4,46,0.5609756112098694,0.5892857313156128,0.02040816326530612,0.015625,24,14.871128337037074,0.9113838524966348,1.2235095177379827,16.85358693467672,0.10277931851201717,6.440414736067595,97.06198446483079
trefoil_T_2_3,2,3,3,1,0.01,curvature_density,0.16,17,290,864,4,114,0.3931034505367279,0.7958333492279053,0.4666666666666667,0.05078125,24,14.871128337037074,0.9113838524966348,1.2235095177379827,16.85358693467672,0.10277931851201717,6.440414736067595,97.06198446483079
trefoil_T_2_3,2,3,3,1,0.01,signed_turning,0.16,9,82,240,4,42,0.5121951103210449,0.5803571939468384,0.18367346938775508,0.015625,24,14.871128337037074,0.9113838524966348,1.2235095177379827,16.85358693467672,0.10277931851201717,6.440414736067595,97.06198446483079
trefoil_T_2_3,2,3,3,1,0.01,signed_turning,0.16,17,290,864,4,102,0.35172414779663086,0.7979167103767395,0.5733333333333334,0.01171875,24,14.871128337037074,0.9113838524966348,1.2235095177379827,16.85358693467672,0.10277931851201717,6.440414736067595,97.06198446483079
trefoil_T_2_3,2,3,3,2,0.1,curvature_density,0.16,9,82,240,4,50,0.6097560524940491,0.5892857313156128,-0.061224489795918366,0.078125,10,12.340374439853683,1.1445687413221313,1.656619978480352,17.260322299595618,0.09606494645103704,3.873707833309763,19.149662137867665
trefoil_T_2_3,2,3,3,2,0.1,curvature_density,0.16,17,290,864,4,110,0.37931033968925476,0.8000000715255737,0.5022222222222222,0.08203125,10,12.340374439853683,1.1445687413221313,1.656619978480352,17.260322299595618,0.09606494645103704,3.873707833309763,19.149662137867665
trefoil_T_2_3,2,3,3,2,0.1,signed_turning,0.16,9,82,240,4,42,0.5121951103210449,0.598214328289032,0.18367346938775508,0.0625,10,12.340374439853683,1.1445687413221313,1.656619978480352,17.260322299595618,0.09606494645103704,3.873707833309763,19.149662137867665
trefoil_T_2_3,2,3,3,2,0.1,signed_turning,0.16,17,290,864,4,104,0.35862070322036743,0.7979167103767395,0.5555555555555556,0.0546875,10,12.340374439853683,1.1445687413221313,1.656619978480352,17.260322299595618,0.09606494645103704,3.873707833309763,19.149662137867665
