hurst,grid_size,sample_count,four_chromatic_count,four_chromatic_rate,mean_estimated_hurst,std_estimated_hurst,mean_odd_degree_vertex_fraction,std_odd_degree_vertex_fraction,mean_main_diagonal_fraction,std_main_diagonal_fraction,mean_neighbor_diagonal_sign_agreement,std_neighbor_diagonal_sign_agreement,mean_mean_absolute_mixed_curvature,std_mean_absolute_mixed_curvature
0.1,17,256,256,1.0,0.30584303970681503,0.01832085092514133,0.4130926700308919,0.030016095759069925,0.499420166015625,0.016748757528013965,0.35733237536624074,0.023205560939585163,1.0793373603373766,0.1207572745301565
0.1,33,256,256,1.0,0.30584303970681503,0.01832085092514133,0.4299311968497932,0.01576115429497208,0.5004081726074219,0.009264138982223162,0.36611248389817774,0.011166187193893272,0.8621948673389852,0.08068802439532463
0.1,65,256,256,1.0,0.30584303970681503,0.01832085092514133,0.4646958475932479,0.008038611457309237,0.5001058578491211,0.004509556174983828,0.4086880387039855,0.005148601311171866,0.5709006835240871,0.050070077658211476
0.25,17,256,256,1.0,0.38971680752001703,0.023129128812029238,0.42297952296212316,0.0309228645071389,0.5025634765625,0.018907505340514892,0.3687744344351813,0.022289205357489534,0.8953853414859623,0.11543688582766086
0.25,33,256,256,1.0,0.38971680752001703,0.023129128812029238,0.43859662080649287,0.017502225962227367,0.5005302429199219,0.009259161417053914,0.3776284382911399,0.010729995222736047,0.6732331359526142,0.08037085601361224
0.25,65,256,256,1.0,0.38971680752001703,0.023129128812029238,0.4732552142813802,0.008112089849471035,0.49975013732910156,0.004726823614701883,0.42257644422352314,0.005470553814835328,0.4174157629022375,0.04860744346268091
0.5,17,256,256,1.0,0.541428480297327,0.032927465909846354,0.4437499977648258,0.03422248114601218,0.49969482421875,0.0175686916894532,0.3929524946724996,0.02381797898010006,0.6340781600447372,0.10939393487084724
0.5,33,256,256,1.0,0.541428480297327,0.032927465909846354,0.4566227104514837,0.015190058543454052,0.499755859375,0.008746148351624098,0.40155618730932474,0.012012102946135974,0.42093089828267694,0.07272055386449175
0.5,65,256,256,1.0,0.541428480297327,0.032927465909846354,0.4866765970364213,0.007705949076391265,0.5001773834228516,0.004630605293640763,0.4493839585920796,0.005421115462628261,0.23376510321395472,0.03983651217806817
0.75,17,256,256,1.0,0.6984732977580279,0.034133910630347916,0.46338900446426123,0.03184881090941365,0.5013275146484375,0.0175907235561957,0.42661948851309717,0.02346580751310073,0.42061224789358675,0.08974998236077372
0.75,33,256,256,1.0,0.6984732977580279,0.034133910630347916,0.47419008426368237,0.015807759796222617,0.4999656677246094,0.009594502064211507,0.4338122819317505,0.012334532828067941,0.23975391394924372,0.04970034231303509
0.75,65,256,256,1.0,0.6984732977580279,0.034133910630347916,0.49451867770403624,0.008146009190216456,0.49991416931152344,0.004345684891967885,0.4807724996935576,0.006192876805062409,0.11917580683075357,0.02435439966506366
0.9,17,256,256,1.0,0.7763469871133566,0.03405358040032715,0.4774515042081475,0.02954835087666804,0.499542236328125,0.01789150115120754,0.45227866957429796,0.026646540837404437,0.33478483074577525,0.08128251300683205
0.9,33,256,256,1.0,0.7763469871133566,0.03405358040032715,0.48344323923811316,0.015702997168095333,0.49970245361328125,0.009532088097284864,0.45853152009658515,0.012991777991930634,0.17519770548096858,0.041214143938453934
0.9,65,256,256,1.0,0.7763469871133566,0.03405358040032715,0.49587375670671463,0.007903562404880188,0.5006341934204102,0.004759410735394002,0.5040336799575016,0.0055602967811010885,0.08059918772778474,0.01878292694980811
