hurst,coarse_grid_size,fine_grid_size,sample_count,mean_mismatch_rate,std_mismatch_rate,maximum_mismatch_rate
0.1,17,33,256,0.319183349609375,0.02823875456505803,0.3828125
0.1,17,65,256,0.3303375244140625,0.029741971180477122,0.40625
0.1,33,65,256,0.28539276123046875,0.013494013720567317,0.3203125
0.25,17,33,256,0.3070068359375,0.030753725012341263,0.38671875
0.25,17,65,256,0.310211181640625,0.028387696571249024,0.390625
0.25,33,65,256,0.272552490234375,0.01430695178634197,0.314453125
0.5,17,33,256,0.284881591796875,0.02623430961046368,0.359375
0.5,17,65,256,0.2749481201171875,0.028394630359272546,0.35546875
0.5,33,65,256,0.25218963623046875,0.013470250790520699,0.2861328125
0.75,17,33,256,0.257598876953125,0.027132838728365097,0.34375
0.75,17,65,256,0.2308502197265625,0.024223571535819978,0.30859375
0.75,33,65,256,0.228118896484375,0.012160517767149947,0.2666015625
0.9,17,33,256,0.2378387451171875,0.026436850568841284,0.328125
0.9,17,65,256,0.2059326171875,0.02463976482276028,0.27734375
0.9,33,65,256,0.212493896484375,0.013140820947426723,0.2451171875
