hurst,sample_id,grid_size,periodic_resolution,estimated_hurst,vertex_count,edge_count,odd_degree_vertex_count,odd_degree_vertex_fraction,chromatic_number,main_diagonal_fraction,neighbor_diagonal_sign_agreement,mean_absolute_mixed_curvature
0.25,0,9,32,0.32312363386154175,82,240,30,0.3658536374568939,4,0.53125,0.2857142984867096,1.423193097114563
0.25,1,9,32,0.3455159366130829,82,240,38,0.46341460943222046,4,0.53125,0.4196428656578064,1.0671334266662598
0.25,2,9,32,0.3535415530204773,82,240,32,0.39024388790130615,4,0.484375,0.3035714328289032,1.2517964839935303
0.25,3,9,32,0.34065183997154236,82,240,40,0.4878048598766327,4,0.53125,0.4375000298023224,1.130210518836975
0.25,4,9,32,0.3716893196105957,82,240,30,0.3658536374568939,4,0.5,0.3035714328289032,1.1599829196929932
0.25,5,9,32,0.38227570056915283,82,240,34,0.4146341383457184,4,0.5,0.3660714328289032,1.2249970436096191
0.25,6,9,32,0.2967025339603424,82,240,30,0.3658536374568939,4,0.46875,0.2857142984867096,1.348300576210022
0.25,7,9,32,0.322404682636261,82,240,34,0.4146341383457184,4,0.546875,0.3482142984867096,1.2224082946777344
0.25,8,9,32,0.29213598370552063,82,240,26,0.31707316637039185,4,0.515625,0.3125,1.4497369527816772
0.25,9,9,32,0.3634640872478485,82,240,36,0.4390243887901306,4,0.546875,0.392857164144516,1.2143299579620361
0.25,10,9,32,0.3445398509502411,82,240,26,0.31707316637039185,4,0.53125,0.3035714328289032,1.170562505722046
0.25,11,9,32,0.3480369448661804,82,240,32,0.39024388790130615,4,0.515625,0.330357164144516,1.0433461666107178
0.25,12,9,32,0.36281663179397583,82,240,36,0.4390243887901306,4,0.53125,0.4196428656578064,1.3358467817306519
0.25,13,9,32,0.40449678897857666,82,240,32,0.39024388790130615,4,0.546875,0.330357164144516,1.0745813846588135
0.25,14,9,32,0.42186853289604187,82,240,48,0.5853658318519592,4,0.46875,0.4642857313156128,0.7947272658348083
0.25,15,9,32,0.362155020236969,82,240,38,0.46341460943222046,4,0.515625,0.3392857313156128,1.095007300376892
0.25,0,17,32,0.32312363386154175,290,864,128,0.4413793087005615,4,0.51953125,0.3812500238418579,1.034710168838501
0.25,1,17,32,0.3455159366130829,290,864,122,0.4206896424293518,4,0.51171875,0.37916669249534607,0.8860552310943604
0.25,2,17,32,0.3535415530204773,290,864,128,0.4413793087005615,4,0.50390625,0.3958333432674408,0.8262438774108887
0.25,3,17,32,0.34065183997154236,290,864,108,0.3724137842655182,4,0.50390625,0.34791669249534607,0.8922497630119324
0.25,4,17,32,0.3716893196105957,290,864,134,0.46206897497177124,4,0.4921875,0.37708336114883423,0.9268444776535034
0.25,5,17,32,0.38227570056915283,290,864,130,0.4482758641242981,4,0.48046875,0.3854166865348816,0.8552581071853638
0.25,6,17,32,0.2967025339603424,290,864,128,0.4413793087005615,4,0.4921875,0.4166666865348816,0.980455219745636
0.25,7,17,32,0.322404682636261,290,864,124,0.4275861978530884,4,0.5234375,0.37708336114883423,1.0576443672180176
0.25,8,17,32,0.29213598370552063,290,864,116,0.4000000059604645,4,0.51171875,0.3645833432674408,1.0338025093078613
0.25,9,17,32,0.3634640872478485,290,864,140,0.48275861144065857,4,0.53125,0.40000003576278687,0.8262755870819092
0.25,10,17,32,0.3445398509502411,290,864,108,0.3724137842655182,4,0.51953125,0.3604166805744171,0.8444093465805054
0.25,11,17,32,0.3480369448661804,290,864,110,0.37931033968925476,4,0.4921875,0.33541667461395264,0.8426033854484558
0.25,12,17,32,0.36281663179397583,290,864,118,0.40689656138420105,4,0.47265625,0.37708336114883423,1.0121281147003174
0.25,13,17,32,0.40449678897857666,290,864,106,0.3655172288417816,4,0.4609375,0.37291669845581055,0.8243192434310913
0.25,14,17,32,0.42186853289604187,290,864,128,0.4413793087005615,4,0.5078125,0.3750000298023224,0.7603863477706909
0.25,15,17,32,0.362155020236969,290,864,114,0.3931034505367279,4,0.4921875,0.3291666805744171,0.7805831432342529
0.25,0,33,32,0.32312363386154175,1090,3264,548,0.5027523040771484,4,0.4892578125,0.4521169364452362,0.590300440788269
0.25,1,33,32,0.3455159366130829,1090,3264,524,0.4807339608669281,4,0.5048828125,0.4183467626571655,0.5761107206344604
0.25,2,33,32,0.3535415530204773,1090,3264,486,0.4458715617656708,4,0.4970703125,0.41532257199287415,0.5299680233001709
0.25,3,33,32,0.34065183997154236,1090,3264,504,0.4623853266239166,4,0.4990234375,0.41633063554763794,0.5492345094680786
0.25,4,33,32,0.3716893196105957,1090,3264,526,0.48256880044937134,4,0.4873046875,0.43145158886909485,0.5365523099899292
0.25,5,33,32,0.38227570056915283,1090,3264,514,0.47155964374542236,4,0.5029296875,0.41431450843811035,0.5051859021186829
0.25,6,33,32,0.2967025339603424,1090,3264,500,0.4587155878543854,4,0.505859375,0.44556450843811035,0.5972681641578674
0.25,7,33,32,0.322404682636261,1090,3264,516,0.473394513130188,4,0.5126953125,0.41885077953338623,0.61226487159729
0.25,8,33,32,0.29213598370552063,1090,3264,516,0.473394513130188,4,0.486328125,0.4400201439857483,0.6228752136230469
0.25,9,33,32,0.3634640872478485,1090,3264,540,0.4954128563404083,4,0.5126953125,0.4551411271095276,0.5084153413772583
0.25,10,33,32,0.3445398509502411,1090,3264,502,0.460550457239151,4,0.48828125,0.41885077953338623,0.5199963450431824
0.25,11,33,32,0.3480369448661804,1090,3264,526,0.48256880044937134,4,0.4931640625,0.4107862710952759,0.5276921987533569
0.25,12,33,32,0.36281663179397583,1090,3264,472,0.4330275356769562,4,0.498046875,0.41280239820480347,0.5628777742385864
