hurst,sample_id,coarse_grid_size,fine_grid_size,mismatch_rate
0.25,0,9,17,0.328125
0.25,1,9,17,0.296875
0.25,2,9,17,0.21875
0.25,3,9,17,0.3125
0.25,4,9,17,0.375
0.25,5,9,17,0.21875
0.25,6,9,17,0.3125
0.25,7,9,17,0.375
0.25,8,9,17,0.265625
0.25,9,9,17,0.234375
0.25,10,9,17,0.28125
0.25,11,9,17,0.359375
0.25,12,9,17,0.296875
0.25,13,9,17,0.234375
0.25,14,9,17,0.375
0.25,15,9,17,0.28125
0.25,0,9,33,0.296875
0.25,1,9,33,0.34375
0.25,2,9,33,0.328125
0.25,3,9,33,0.296875
0.25,4,9,33,0.359375
0.25,5,9,33,0.28125
0.25,6,9,33,0.28125
0.25,7,9,33,0.296875
0.25,8,9,33,0.296875
0.25,9,9,33,0.265625
0.25,10,9,33,0.265625
0.25,11,9,33,0.328125
0.25,12,9,33,0.25
0.25,13,9,33,0.28125
0.25,14,9,33,0.296875
0.25,15,9,33,0.34375
0.25,0,17,33,0.1875
0.25,1,17,33,0.26171875
0.25,2,17,33,0.29296875
0.25,3,17,33,0.2890625
0.25,4,17,33,0.26953125
0.25,5,17,33,0.2578125
0.25,6,17,33,0.27734375
0.25,7,17,33,0.265625
0.25,8,17,33,0.28125
0.25,9,17,33,0.265625
0.25,10,17,33,0.23828125
0.25,11,17,33,0.26953125
0.25,12,17,33,0.26953125
0.25,13,17,33,0.28125
0.25,14,17,33,0.26953125
0.25,15,17,33,0.27734375
0.75,0,9,17,0.25
0.75,1,9,17,0.296875
0.75,2,9,17,0.140625
0.75,3,9,17,0.265625
0.75,4,9,17,0.140625
0.75,5,9,17,0.265625
0.75,6,9,17,0.3125
0.75,7,9,17,0.125
0.75,8,9,17,0.265625
0.75,9,9,17,0.3125
0.75,10,9,17,0.265625
0.75,11,9,17,0.234375
0.75,12,9,17,0.25
0.75,13,9,17,0.234375
0.75,14,9,17,0.234375
0.75,15,9,17,0.265625
0.75,0,9,33,0.25
0.75,1,9,33,0.171875
0.75,2,9,33,0.234375
0.75,3,9,33,0.3125
0.75,4,9,33,0.25
0.75,5,9,33,0.265625
0.75,6,9,33,0.25
0.75,7,9,33,0.296875
0.75,8,9,33,0.25
0.75,9,9,33,0.265625
0.75,10,9,33,0.234375
0.75,11,9,33,0.1875
0.75,12,9,33,0.28125
0.75,13,9,33,0.203125
0.75,14,9,33,0.203125
0.75,15,9,33,0.234375
0.75,0,17,33,0.25390625
0.75,1,17,33,0.18359375
0.75,2,17,33,0.21484375
0.75,3,17,33,0.234375
0.75,4,17,33,0.29296875
0.75,5,17,33,0.27734375
0.75,6,17,33,0.1953125
0.75,7,17,33,0.234375
0.75,8,17,33,0.1484375
0.75,9,17,33,0.22265625
0.75,10,17,33,0.2421875
0.75,11,17,33,0.23046875
0.75,12,17,33,0.2109375
0.75,13,17,33,0.2109375
0.75,14,17,33,0.20703125
0.75,15,17,33,0.19921875
