family,hurst,size,nominal_probability,samples,realized_blue_fraction,mean_neighbor_agreement,blue_crossing_count,yellow_crossing_count,both_winners,neither_winners,blue_crossing_probability,ci95_low,ci95_high,elapsed_seconds,samples_per_second
iid,,6,0.25,200000,0.2500801388888889,0.6248019411764705,4274,195726,0,0,0.02137,0.02073619947135964,0.02200380052864036,0.3496006000204943,572081.3979961006
iid,,6,0.3,200000,0.29998444444444444,0.580121705882353,11142,188858,0,0,0.05571,0.05470478178864129,0.05671521821135871,0.18112039999687113,1104237.8440167701
iid,,6,0.35,200000,0.3497725,0.5451445294117647,23806,176194,0,0,0.11903,0.11761077958385852,0.12044922041614148,0.21171199998934753,944679.564739189
iid,,6,0.4,200000,0.4000415277777778,0.5199444117647058,43691,156309,0,0,0.218455,0.21664408084431586,0.22026591915568416,0.21295200000167824,939178.7820655538
iid,,6,0.45,200000,0.44997944444444443,0.5050376470588236,70161,129839,0,0,0.350805,0.3487134823011182,0.35289651769888175,0.19656539999414235,1017473.064974609
iid,,6,0.475,200000,0.475025,0.5011829411764707,84630,115370,0,0,0.42315,0.4209846919293967,0.42531530807060336,0.19304919999558479,1036005.3292351079
iid,,6,0.5,200000,0.5002291666666666,0.4996520000000001,100074,99926,0,0,0.50037,0.498178653982041,0.502561346017959,0.18170780001673847,1100668.2155723446
iid,,6,0.525,200000,0.5251706944444444,0.5010148235294118,115116,84884,0,0,0.57558,0.573413833468445,0.577746166531555,0.16623709999839775,1203100.872199573
iid,,6,0.55,200000,0.5500909722222223,0.5049957058823529,130630,69370,0,0,0.65315,0.6510639803815352,0.6552360196184648,0.1729052999871783,1156702.5418817753
iid,,6,0.6,200000,0.59993,0.5198989411764705,156222,43778,0,0,0.78111,0.7792977832797859,0.782922216720214,0.17446559999370947,1146357.792064517
iid,,6,0.65,200000,0.6501183333333334,0.5449804117647059,175869,24131,0,0,0.879345,0.8779174432404673,0.8807725567595328,0.1709236000024248,1170113.4307793817
iid,,6,0.7,200000,0.7000231944444445,0.5797364705882353,189053,10947,0,0,0.945265,0.9442681026911872,0.9462618973088128,0.15422850000322796,1296777.1844750748
iid,,6,0.75,200000,0.7498123611111112,0.6247836470588235,195610,4390,0,0,0.97805,0.9774078464844136,0.9786921535155864,0.1813630000106059,1102760.7615020936
fractional_gaussian,0.2,6,0.25,200000,0.2555280555555556,0.7248561764705881,12271,187729,0,0,0.061355,0.060303239783585726,0.062406760216414274,0.35535920000984333,562810.8122554871
