size,probability,samples,blue_crossing_count,yellow_crossing_count,both_winners,neither_winners,blue_crossing_probability,ci95_low,ci95_high,elapsed_seconds,samples_per_second
6,0.35,500000,59793,440207,0,0,0.119586,0.11868659621910832,0.12048540378089168,0.0879172999993898,5687162.8223736435
6,0.4,500000,108703,391297,0,0,0.217406,0.21626266081263726,0.21854933918736272,0.07422560002305545,6736220.385482818
6,0.425,500000,139932,360068,0,0,0.279864,0.27861962336280227,0.28110837663719773,0.07585069999913685,6591896.9766355455
6,0.45,500000,174933,325067,0,0,0.349866,0.34854402458517547,0.35118797541482455,0.07118890000856481,7023566.875451713
6,0.475,500000,211844,288156,0,0,0.423688,0.42231830780070495,0.42505769219929507,0.07226820001960732,6918672.38791534
6,0.5,500000,249806,250194,0,0,0.499612,0.49822607112616113,0.5009979288738389,0.0678728999919258,7366710.425802939
6,0.525,500000,287994,212006,0,0,0.575988,0.574618169408339,0.5773578305916611,0.07427280000410974,6731939.552195871
6,0.55,500000,325782,174218,0,0,0.651564,0.6502432788906377,0.6528847211093624,0.07535669999197125,6635110.083818315
6,0.575,500000,359700,140300,0,0,0.7194,0.718154625068966,0.7206453749310341,0.07212869997601956,6932053.401298424
6,0.6,500000,390432,109568,0,0,0.780864,0.779717390238558,0.782010609761442,0.07278400001814589,6869641.677777317
6,0.65,500000,440137,59863,0,0,0.880274,0.8793741414591125,0.8811738585408875,0.07367209999938495,6786829.749717657
7,0.35,500000,48169,451831,0,0,0.096338,0.0955201514420791,0.09715584855792089,0.0871247999893967,5738894.092851303
7,0.4,500000,97624,402376,0,0,0.195248,0.19414925882850034,0.19634674117149967,0.08804679999593645,5678798.094003145
7,0.425,500000,129736,370264,0,0,0.259472,0.2582569698325396,0.26068703016746037,0.09633529998245649,5190205.460418501
7,0.45,500000,166452,333548,0,0,0.332904,0.3315977546898584,0.33421024531014154,0.10185279999859631,4909045.210410424
7,0.475,500000,207405,292595,0,0,0.41481,0.41344433516729895,0.4161756648327011,0.0947745000012219,5275680.694633616
7,0.5,500000,250120,249880,0,0,0.50024,0.49885407086853345,0.5016259291314666,0.09320960001787171,5364254.324706163
7,0.525,500000,293012,206988,0,0,0.586024,0.5846587369000354,0.5873892630999645,0.0991206000035163,5044360.102564578
7,0.55,500000,333323,166677,0,0,0.666646,0.6653393130814126,0.6679526869185873,0.09675029999925755,5167942.631742092
7,0.575,500000,370147,129853,0,0,0.740294,0.7390786141506868,0.7415093858493133,0.0970171999942977,5153725.319112364
7,0.6,500000,402792,97208,0,0,0.805584,0.8044870357177963,0.8066809642822036,0.09767009998904541,5119273.96466349
7,0.65,500000,452012,47988,0,0,0.904024,0.9032075259760654,0.9048404740239347,0.11372080000001006,4396733.051473044
