size,cells,blue_cells,blue_winner_count,all_colorings_at_weight
1,1,0,0,1
1,1,1,1,1
2,4,0,0,1
2,4,1,0,4
2,4,2,3,6
2,4,3,4,4
2,4,4,1,1
3,9,0,0,1
3,9,1,0,9
3,9,2,0,36
3,9,3,8,84
3,9,4,42,126
3,9,5,84,126
3,9,6,76,84
3,9,7,36,36
3,9,8,9,9
3,9,9,1,1
4,16,0,0,1
4,16,1,0,16
4,16,2,0,120
4,16,3,0,560
4,16,4,20,1820
4,16,5,228,4368
4,16,6,1158,8008
4,16,7,3420,11440
4,16,8,6435,12870
4,16,9,8020,11440
4,16,10,6850,8008
4,16,11,4140,4368
4,16,12,1800,1820
4,16,13,560,560
4,16,14,120,120
4,16,15,16,16
4,16,16,1,1
5,25,0,0,1
5,25,1,0,25
5,25,2,0,300
5,25,3,0,2300
5,25,4,0,12650
5,25,5,48,53130
5,25,6,942,177100
5,25,7,8679,480700
5,25,8,49751,1081575
5,25,9,198242,2042975
5,25,10,580910,3268760
5,25,11,1291636,4457400
5,25,12,2219059,5200300
5,25,13,2981241,5200300
5,25,14,3165764,4457400
5,25,15,2687850,3268760
5,25,16,1844733,2042975
5,25,17,1031824,1081575
5,25,18,472021,480700
5,25,19,176158,177100
5,25,20,53082,53130
5,25,21,12650,12650
5,25,22,2300,2300
5,25,23,300,300
5,25,24,25,25
5,25,25,1,1
