size,field_of_view,center_extent,channel,threshold,samples,realized_blue_fraction,mean_neighbor_agreement,blue_crossing_probability,yellow_crossing_probability,both_winners,neither_winners,u1_board_mismatch_count
6,1.0,2.0,h_x,-0.6,100000,0.7550741666666667,0.9772403529411764,0.76133,0.23867,0,0,0
6,1.0,2.0,h_x,-0.4,100000,0.6618019444444444,0.9757840000000001,0.66611,0.33389,0,0,0
6,1.0,2.0,h_x,-0.2,100000,0.5768041666666667,0.9759332941176472,0.57887,0.42113,0,0,0
6,1.0,2.0,h_x,-0.1,100000,0.5380438888888889,0.9760042352941175,0.53835,0.46165,0,0,0
6,1.0,2.0,h_x,0.0,100000,0.49990416666666665,0.9758915294117649,0.49973,0.50027,0,0,0
6,1.0,2.0,h_x,0.1,100000,0.46158333333333335,0.9758282352941177,0.46099,0.53901,0,0,0
6,1.0,2.0,h_x,0.2,100000,0.42258194444444447,0.9759004705882354,0.42085,0.57915,0,0,0
6,1.0,2.0,h_x,0.4,100000,0.3377819444444444,0.9757350588235294,0.33375,0.66625,0,0,0
6,1.0,2.0,h_x,0.6,100000,0.24382444444444445,0.9770054117647061,0.2369,0.7631,0,0,0
6,1.0,2.0,h_y,-0.6,100000,0.7543358333333333,0.9771360000000002,0.75984,0.24016,0,0,0
6,1.0,2.0,h_y,-0.4,100000,0.6604144444444444,0.9758645882352942,0.66464,0.33536,0,0,0
6,1.0,2.0,h_y,-0.2,100000,0.5759544444444444,0.9759517647058824,0.57752,0.42248,0,0,0
6,1.0,2.0,h_y,-0.1,100000,0.5374561111111111,0.9759858823529409,0.53829,0.46171,0,0,0
6,1.0,2.0,h_y,0.0,100000,0.49966777777777777,0.9759370588235297,0.49979,0.50021,0,0,0
6,1.0,2.0,h_y,0.1,100000,0.46187055555555556,0.9758857647058823,0.46117,0.53883,0,0,0
6,1.0,2.0,h_y,0.2,100000,0.42306333333333335,0.9757417647058827,0.42203,0.57797,0,0,0
6,1.0,2.0,h_y,0.4,100000,0.33665555555555554,0.9751245882352939,0.33262,0.66738,0,0,0
6,1.0,2.0,h_y,0.6,100000,0.24068972222222224,0.9769384705882354,0.23387,0.76613,0,0,0
6,1.0,2.0,h_z,-0.6,100000,0.9142352777777778,0.9802084705882353,0.92863,0.07137,0,0,0
6,1.0,2.0,h_z,-0.4,100000,0.8426894444444445,0.9723471764705884,0.85781,0.14219,0,0,0
6,1.0,2.0,h_z,-0.2,100000,0.74254,0.9663530588235294,0.75568,0.24432,0,0,0
6,1.0,2.0,h_z,-0.1,100000,0.6822152777777778,0.9650240000000001,0.69374,0.30626,0,0,0
6,1.0,2.0,h_z,0.0,100000,0.6170380555555556,0.9644550588235297,0.62746,0.37254,0,0,0
6,1.0,2.0,h_z,0.1,100000,0.5479027777777777,0.9647969411764707,0.55502,0.44498,0,0,0
6,1.0,2.0,h_z,0.2,100000,0.47592388888888887,0.9656801176470586,0.48001,0.51999,0,0,0
6,1.0,2.0,h_z,0.4,100000,0.322765,0.9665157647058825,0.32296,0.67704,0,0,0
6,1.0,2.0,h_z,0.6,100000,0.14118694444444443,0.9723372941176471,0.13453,0.86547,0,0,0
6,2.0,2.0,h_x,-0.6,100000,0.7615402777777778,0.9549469411764707,0.77932,0.22068,0,0,0
6,2.0,2.0,h_x,-0.4,100000,0.6671013888888889,0.9524125882352943,0.67856,0.32144,0,0,0
6,2.0,2.0,h_x,-0.2,100000,0.5823280555555556,0.9519156470588233,0.58634,0.41366,0,0,0
6,2.0,2.0,h_x,-0.1,100000,0.5426016666666666,0.9519310588235294,0.54414,0.45586,0,0,0
6,2.0,2.0,h_x,0.0,100000,0.5035591666666667,0.9520029411764707,0.50322,0.49678,0,0,0
6,2.0,2.0,h_x,0.1,100000,0.46467833333333336,0.9519625882352938,0.46157,0.53843,0,0,0
