config_id,cycles,diffusion_time,coarse_factor,trajectory_samples,mean_absolute_winding,mean_winding_error_from_fine,maximum_winding_error_from_fine,mean_direction_sphere_path_length,mean_direction_path_length_loss,maximum_direction_path_length_loss
n1_k0.5_b0.75_s0.75_rho0,1,0.0,1,129,0.13083839416503906,0.0,0.0,1.0725229978561401,0.0,0.0
n1_k0.5_b0.75_s0.75_rho0,1,0.0,2,65,0.13083839416503906,3.956115435244101e-09,8.940696716308594e-08,1.0709543228149414,0.001744756125845015,0.006260871887207031
n1_k0.5_b0.75_s0.75_rho0,1,0.0,4,33,0.13083839416503906,5.7840132683395495e-09,1.1920928955078125e-07,1.0649486780166626,0.007723280694335699,0.030686378479003906
n1_k0.5_b0.75_s0.75_rho0,1,0.0,8,17,0.13083839416503906,7.031513593602767e-09,1.1920928955078125e-07,1.042970895767212,0.029693668708205223,0.12376165390014648
n1_k0.5_b0.75_s0.75_rho0.25,1,0.25,1,129,0.07444782555103302,0.0,0.0,0.6414567232131958,0.0,0.0
n1_k0.5_b0.75_s0.75_rho0.25,1,0.25,2,65,0.07444782555103302,1.528137727468959e-09,8.940696716308594e-08,0.6410015821456909,0.0006748127634637058,0.003459364175796509
n1_k0.5_b0.75_s0.75_rho0.25,1,0.25,4,33,0.07444782555103302,1.4557511862633987e-09,2.9802322387695312e-08,0.6389120817184448,0.0027513159438967705,0.007119297981262207
n1_k0.5_b0.75_s0.75_rho0.25,1,0.25,8,17,0.07444782555103302,1.5604131320401393e-09,4.470348358154297e-08,0.6321079730987549,0.009536780416965485,0.028715133666992188
n1_k0.5_b0.75_s0.75_rho1,1,1.0,1,129,0.020575886592268944,0.0,0.0,0.22573618590831757,0.0,0.0
n1_k0.5_b0.75_s0.75_rho1,1,1.0,2,65,0.020575886592268944,3.310852147997423e-10,7.450580596923828e-09,0.22561368346214294,0.0004030748677905649,0.0032543987035751343
n1_k0.5_b0.75_s0.75_rho1,1,1.0,4,33,0.020575886592268944,3.21483062393213e-10,3.725290298461914e-09,0.2253592312335968,0.0006168872932903469,0.003351561725139618
n1_k0.5_b0.75_s0.75_rho1,1,1.0,8,17,0.020575886592268944,6.037179089979361e-10,1.1175870895385742e-08,0.22479261457920074,0.0010859036119654775,0.004108592867851257
n1_k0.5_b0.75_s1.25_rho0,1,0.0,1,129,0.15657882392406464,0.0,0.0,0.9990172386169434,0.0,0.0
n1_k0.5_b0.75_s1.25_rho0,1,0.0,2,65,0.15657882392406464,6.808757113674346e-09,1.1920928955078125e-07,0.9975091218948364,0.0017190854996442795,0.005423009395599365
n1_k0.5_b0.75_s1.25_rho0,1,0.0,4,33,0.15657882392406464,7.666271173434325e-09,1.1920928955078125e-07,0.9917288422584534,0.007450982928276062,0.021070003509521484
n1_k0.5_b0.75_s1.25_rho0,1,0.0,8,17,0.15657882392406464,6.585278100601499e-09,1.1920928955078125e-07,0.9704530239105225,0.02868720144033432,0.07945108413696289
n1_k0.5_b0.75_s1.25_rho0.25,1,0.25,1,129,0.09311895072460175,0.0,0.0,0.5820627808570862,0.0,0.0
n1_k0.5_b0.75_s1.25_rho0.25,1,0.25,2,65,0.09311895072460175,1.895153811659611e-09,8.940696716308594e-08,0.5817392468452454,0.0006262296810746193,0.002964034676551819
n1_k0.5_b0.75_s1.25_rho0.25,1,0.25,4,33,0.09311895072460175,2.134327603542374e-09,5.960464477539063e-08,0.5798603892326355,0.0023974350187927485,0.006656527519226074
n1_k0.5_b0.75_s1.25_rho0.25,1,0.25,8,17,0.09311895072460175,2.0909749487429963e-09,8.940696716308594e-08,0.5734174251556396,0.008763337507843971,0.0247647762298584
n1_k0.5_b0.75_s1.25_rho1,1,1.0,1,129,0.028538163751363754,0.0,0.0,0.20491361618041992,0.0,0.0
n1_k0.5_b0.75_s1.25_rho1,1,1.0,2,65,0.028538160026073456,3.902431988667132e-10,7.450580596923828e-09,0.20491185784339905,0.000339977239491418,0.0024093985557556152
n1_k0.5_b0.75_s1.25_rho1,1,1.0,4,33,0.028538163751363754,4.647284779224492e-10,1.1175870895385742e-08,0.2046578824520111,0.0005674029816873372,0.0030236542224884033
n1_k0.5_b0.75_s1.25_rho1,1,1.0,8,17,0.028538163751363754,6.136057772998527e-10,1.1175870895385742e-08,0.20404879748821259,0.0010672416538000107,0.003515675663948059
n1_k0.5_b1.25_s0.75_rho0,1,0.0,1,129,0.08413729071617126,0.0,0.0,0.6058209538459778,0.0,0.0
n1_k0.5_b1.25_s0.75_rho0,1,0.0,2,65,0.08413729071617126,2.3420188011158416e-09,5.960464477539063e-08,0.60524582862854,0.0008961419225670397,0.005638431757688522
