config_id,selection_reason,grid_size,field_line_count,cycles,twist,guide_field,center_offset,diffusion_time,mean_absolute_neighbor_winding,maximum_absolute_neighbor_winding,maximum_squashing_factor,maximum_unconstrained_squashing_factor,maximum_mapping_stretch,minimum_mapping_jacobian_abs_determinant,maximum_area_preservation_residual,integration_and_diagnostics_seconds
n3_k1.5_b0.75_s1.25_rho0,top_q;top_winding,13,169,3,1.5,0.75,1.25,0.0,0.7458198070526123,4.111815452575684,96.72025299072266,562.8765258789062,9.579754829406738,0.02740754559636116,33.43263626098633,0.0
n2_k1.5_b0.75_s1.25_rho0,top_winding,13,169,2,1.5,0.75,1.25,0.0,0.6249514222145081,2.6661009788513184,83.06007385253906,154.9415283203125,9.04503345489502,0.23932711780071259,27.833383560180664,0.0
n3_k1.5_b1.25_s1.25_rho0.25,top_q,13,169,3,1.5,1.25,1.25,0.25,0.40983107686042786,1.3657557964324951,102.27965545654297,809.8825073242188,10.106645584106445,0.024253088980913162,23.87148094177246,0.0
n3_k1.5_b0.75_s0.75_rho1,top_winding_area_residual_le_0.5,13,169,3,1.5,0.75,0.75,1.0,0.1635536104440689,0.39793917536735535,12.6779146194458,13.657529830932617,3.5494062900543213,0.7073559165000916,0.29264408349990845,0.0
n2_k1.5_b0.75_s1.25_rho0,top_winding,25,625,2,1.5,0.75,1.25,0.0,0.7546831965446472,3.139549732208252,424.4571228027344,4419.27001953125,20.028839111328125,0.011999830603599548,129.59886169433594,2.4744091000029584
n3_k1.5_b0.75_s1.25_rho0,top_q;top_winding,25,625,3,1.5,0.75,1.25,0.0,0.8981950283050537,4.633487701416016,400.5343017578125,1889.8853759765625,19.953744888305664,0.02500753477215767,140.2921600341797,4.964487000004738
n3_k1.5_b1.25_s1.25_rho0.25,top_q,25,625,3,1.5,1.25,1.25,0.25,0.4263423681259155,1.5733100175857544,391.6969299316406,3621.074951171875,19.698896408081055,0.031146900728344917,94.8697509765625,4.964487000004738
n3_k1.5_b0.75_s0.75_rho1,top_winding_area_residual_le_0.5,25,625,3,1.5,0.75,0.75,1.0,0.16571398079395294,0.40323606133461,14.504658699035645,14.145360946655273,3.7988998889923096,0.9155535101890564,0.1191720962524414,4.964487000004738
n2_k1.5_b0.75_s1.25_rho0,top_winding,49,2401,2,1.5,0.75,1.25,0.0,0.8197159767150879,3.1524293422698975,1721.8856201171875,91805.140625,40.90230178833008,0.003518549958243966,517.2225341796875,2.836433600001328
n3_k1.5_b0.75_s1.25_rho0,top_q;top_winding,49,2401,3,1.5,0.75,1.25,0.0,0.9985184073448181,4.623733043670654,1998.7188720703125,12609.337890625,44.43285369873047,0.007729049306362867,640.0281372070312,5.229697800001304
n3_k1.5_b1.25_s1.25_rho0.25,top_q,49,2401,3,1.5,1.25,1.25,0.25,0.43722137808799744,1.6006240844726562,1128.7952880859375,29477.181640625,33.59320831298828,0.0009958221344277263,155.59310913085938,5.229697800001304
n3_k1.5_b0.75_s0.75_rho1,top_winding_area_residual_le_0.5,49,2401,3,1.5,0.75,0.75,1.0,0.16664430499076843,0.40343770384788513,14.969832420349121,14.884237289428711,3.860275983810425,0.9776721596717834,0.04212689399719238,5.229697800001304
