config_id,cycles,twist,guide_field,center_offset,diffusion_time,field_line_count,integration_step_count,endpoint_displacement_mean,endpoint_displacement_max,maximum_squashing_factor,p95_squashing_factor,mean_log10_squashing_factor,maximum_unconstrained_squashing_factor,maximum_mapping_stretch,mean_log_mapping_stretch,maximum_finite_length_lyapunov,minimum_mapping_jacobian_abs_determinant,mean_area_preservation_residual,maximum_area_preservation_residual,mean_absolute_neighbor_winding,maximum_absolute_neighbor_winding,neighbor_winding_over_quarter_turn_rate,mean_direction_sphere_path_length,maximum_direction_sphere_path_length,mean_integrated_parallel_current_abs,maximum_integrated_parallel_current_abs,finite_trajectory,maximum_numerical_divergence_abs,mean_magnetic_energy_density,mean_free_energy_density_above_guide,mean_current_density,maximum_current_density,mean_lorentz_force_density,maximum_lorentz_force_density,mean_force_free_misalignment_sine
n1_k0.5_b0.75_s0.75_rho0,1,0.5,0.75,0.75,0.0,169,128,1.015854835510254,2.8517091274261475,21.81836700439453,16.86562156677246,0.7811439037322998,71.12432861328125,4.631016731262207,0.8715350031852722,0.09579852968454361,0.17498907446861267,0.3643595278263092,2.5138120651245117,0.13083839416503906,0.6433089375495911,0.1666666716337204,1.0725229978561401,2.8977127075195312,0.9904056787490845,5.293272972106934,True,7.450580596923828e-06,0.28611716628074646,0.00486716628074646,0.06622911244630814,1.4142135381698608,0.023589177057147026,0.30714863538742065,0.5062884092330933
n1_k0.5_b0.75_s0.75_rho0.25,1,0.5,0.75,0.75,0.25,169,128,0.6528995037078857,1.6971185207366943,5.343084812164307,4.670759677886963,0.4792064428329468,6.049293041229248,2.2621757984161377,0.46763086318969727,0.05102044343948364,0.7997903823852539,0.043793804943561554,0.2002096176147461,0.07444782555103302,0.28684189915657043,0.01923076994717121,0.6414567232131958,1.179429054260254,0.516130268573761,2.1435439586639404,True,7.450580596923828e-06,0.2831527590751648,0.001902759075164795,0.0420321524143219,0.5621825456619263,0.014023654162883759,0.06618442386388779,0.5587835311889648
n1_k0.5_b0.75_s0.75_rho1,1,0.5,0.75,0.75,1.0,169,128,0.2248121201992035,0.4898049831390381,2.1124095916748047,2.105739116668701,0.31247109174728394,2.115133285522461,1.1829242706298828,0.11081153154373169,0.010499347932636738,0.9974523782730103,0.0012280921218916774,0.0033968687057495117,0.020575886592268944,0.05952398106455803,0.0,0.22573618590831757,0.28627291321754456,0.16730646789073944,0.40986794233322144,True,1.3969838619232178e-06,0.2815903127193451,0.0003403127193450928,0.016857760027050972,0.1110951229929924,0.005917144939303398,0.01380427461117506,0.6080977320671082
n1_k0.5_b0.75_s1.25_rho0,1,0.5,0.75,1.25,0.0,169,128,1.19831120967865,3.4519145488739014,25.451236724853516,20.03228187561035,0.7978721857070923,143.69830322265625,5.043363571166992,0.8905069828033447,0.10112957656383514,0.06752566248178482,0.3066450357437134,2.155003070831299,0.15657882392406464,0.5987716317176819,0.21794871985912323,0.9990172386169434,2.4355149269104004,1.1265591382980347,5.46840763092041,True,1.1175870895385742e-05,0.28609275817871094,0.0048427581787109375,0.0635581910610199,1.3278682231903076,0.023635655641555786,0.3407253324985504,0.500792384147644
n1_k0.5_b0.75_s1.25_rho0.25,1,0.5,0.75,1.25,0.25,169,128,0.8503465056419373,2.1023950576782227,6.750665664672852,5.791095733642578,0.5274606347084045,7.715461730957031,2.5708858966827393,0.5372110605239868,0.0590156614780426,0.8273898363113403,0.04588286206126213,0.17261016368865967,0.09311895072460175,0.3088010251522064,0.044871795922517776,0.5820627808570862,1.13699471950531,0.6561369895935059,2.514181613922119,True,1.1175870895385742e-05,0.2831129729747772,0.0018629729747772217,0.040413450449705124,0.5391212701797485,0.013582775369286537,0.06520087271928787,0.5421190857887268
n1_k0.5_b0.75_s1.25_rho1,1,0.5,0.75,1.25,1.0,169,128,0.32736319303512573,0.6953665018081665,2.225205421447754,2.208841323852539,0.3224313259124756,2.227456569671631,1.265852689743042,0.1516142189502716,0.014734121970832348,0.9961749315261841,0.001772179501131177,0.004451155662536621,0.028538163751363754,0.07977988570928574,0.0,0.20491361618041992,0.27499550580978394,0.2339438945055008,0.5669233798980713,True,2.444721758365631e-06,0.2815715968608856,0.0003215968608856201,0.016437290236353874,0.10881706327199936,0.005501218140125275,0.013489090837538242,0.5813981890678406
n1_k0.5_b1.25_s0.75_rho0,1,0.5,1.25,0.75,0.0,169,128,0.6367577910423279,2.027484178543091,9.166683197021484,7.6480183601379395,0.5563349723815918,16.140039443969727,3.005967617034912,0.5789425373077393,0.06878747045993805,0.3371632695198059,0.11755239963531494,0.6628367304801941,0.08413729071617126,0.4127703309059143,0.06730769574642181,0.6058209538459778,1.5303616523742676,0.999036431312561,5.120418548583984,True,7.450580596923828e-06,0.7861171364784241,0.004867136478424072,0.06622911244630814,1.4142135381698608,0.03411183878779411,0.30714869499206543,0.4934006631374359
n1_k0.5_b1.25_s0.75_rho0.25,1,0.5,1.25,0.75,0.25,169,128,0.39539825916290283,1.0569381713867188,3.081604242324829,2.9345803260803223,0.3740350902080536,3.1260299682617188,1.6495425701141357,0.28413262963294983,0.03128112852573395,0.9560489058494568,0.013980054296553135,0.04762732982635498,0.04454214498400688,0.17819181084632874,0.0,0.3736412525177002,0.6756831407546997,0.514948844909668,2.0801286697387695,True,7.450580596923828e-06,0.78315269947052,0.0019026994705200195,0.0420321561396122,0.5621825456619263,0.02191615290939808,0.09307873994112015,0.5487345457077026
n1_k0.5_b1.25_s0.75_rho1,1,0.5,1.25,0.75,1.0,169,128,0.13493366539478302,0.2958224415779114,2.040815591812134,2.0369510650634766,0.3051801919937134,2.040902614593506,1.1058549880981445,0.06655686348676682,0.0062886737287044525,0.9985556602478027,0.0006266625132411718,0.0015739202499389648,0.0122697614133358,0.03581029549241066,0.0,0.13441555202007294,0.17064020037651062,0.1674206256866455,0.40533265471458435,True,1.3969838619232178e-06,0.7815903425216675,0.00034034252166748047,0.016857760027050972,0.1110951229929924,0.009711990132927895,0.022953296080231667,0.6034106612205505
n1_k0.5_b1.25_s1.25_rho0,1,0.5,1.25,1.25,0.0,169,128,0.7772372961044312,2.1508970260620117,9.485803604125977,7.7413249015808105,0.573432445526123,12.537140846252441,3.0666697025299072,0.6011838316917419,0.07003700733184814,0.689464271068573,0.0847042128443718,0.33436620235443115,0.09785506874322891,0.3862949311733246,0.08974359184503555,0.5605207681655884,1.3433051109313965,1.1304173469543457,5.468422889709473,True,1.1175870895385742e-05,0.7860928177833557,0.004842817783355713,0.0635581910610199,1.3278682231903076,0.03398604318499565,0.3407253324985504,0.4879978895187378
n1_k0.5_b1.25_s1.25_rho0.25,1,0.5,1.25,1.25,0.25,169,128,0.5185123682022095,1.2743743658065796,3.582754135131836,3.3065857887268066,0.39913830161094666,3.6846299171447754,1.8136552572250366,0.33184656500816345,0.03720901906490326,0.9593906402587891,0.014000753872096539,0.04060935974121094,0.05622739717364311,0.19311921298503876,0.0,0.33901089429855347,0.6543113589286804,0.656271755695343,2.5141828060150146,True,1.1175870895385742e-05,0.7831129431724548,0.001862943172454834,0.040413446724414825,0.5391212701797485,0.02111918479204178,0.09431848675012589,0.532416045665741
n1_k0.5_b1.25_s1.25_rho1,1,0.5,1.25,1.25,1.0,169,128,0.19658900797367096,0.4160211682319641,2.0804131031036377,2.0735435485839844,0.30888551473617554,2.082059383392334,1.1525418758392334,0.09136693179607391,0.008873114362359047,0.9982568025588989,0.0008458470110781491,0.0019516944885253906,0.017061108723282814,0.04800935089588165,0.0,0.12230601161718369,0.16632366180419922,0.23373156785964966,0.5680064558982849,True,2.444721758365631e-06,0.7815716862678528,0.0003216862678527832,0.016437290236353874,0.10881706327199936,0.009018938057124615,0.022444559261202812,0.5769719481468201
n1_k1_b0.75_s0.75_rho0,1,1.0,0.75,0.75,0.0,169,128,1.675204873085022,3.9609248638153076,50.5977897644043,30.257532119750977,1.0767643451690674,258.11907958984375,7.0692620277404785,1.2026082277297974,0.1222347542643547,0.015649927780032158,1.87179434299469,11.174772262573242,0.23001350462436676,1.1092830896377563,0.33974358439445496,2.407094717025757,7.298260688781738,2.0079143047332764,10.665742874145508,True,1.4901161193847656e-05,0.3007185459136963,0.01946854591369629,0.13245822489261627,2.8284270763397217,0.06369438022375107,1.228594422340393,0.532368540763855
n1_k1_b0.75_s0.75_rho0.25,1,1.0,0.75,0.75,0.25,169,128,1.261637806892395,2.8153133392333984,17.567279815673828,14.667218208312988,0.7673036456108093,120.23956298828125,4.181400775909424,0.8537731170654297,0.08941539376974106,0.06353208422660828,0.28669416904449463,1.6111338138580322,0.14249397814273834,0.538634717464447,0.18269230425357819,1.3825503587722778,2.6839895248413086,1.0385128259658813,4.2680983543396,True,1.4901161193847656e-05,0.2888610064983368,0.007611006498336792,0.0840643048286438,1.1243650913238525,0.0326981395483017,0.26473549008369446,0.582563042640686
n1_k1_b0.75_s0.75_rho1,1,1.0,0.75,0.75,1.0,169,128,0.44875282049179077,0.9659025073051453,2.470374822616577,2.443094491958618,0.345237672328949,2.4707741737365723,1.399267315864563,0.22050724923610687,0.02099679782986641,0.9909189343452454,0.004103591665625572,0.01217031478881836,0.04206099361181259,0.11900670826435089,0.0,0.45942723751068115,0.5875384211540222,0.3343140184879303,0.8278740644454956,True,2.7939677238464355e-06,0.28261131048202515,0.0013613104820251465,0.033715520054101944,0.2221902459859848,0.012308414094150066,0.0278855599462986,0.620018482208252
n1_k1_b0.75_s1.25_rho0,1,1.0,0.75,1.25,0.0,169,128,1.769027829170227,5.032266616821289,70.67252349853516,40.52510452270508,1.0864728689193726,442.85406494140625,8.37648868560791,1.2217845916748047,0.13283930718898773,0.03443744033575058,1.4903157949447632,10.986557960510254,0.2964381277561188,1.1406306028366089,0.42628204822540283,2.259366273880005,5.4343109130859375,2.2823526859283447,10.936677932739258,True,2.2351741790771484e-05,0.3006209433078766,0.019370943307876587,0.1271163821220398,2.6557364463806152,0.06445508450269699,1.3629013299942017,0.5267224311828613
n1_k1_b0.75_s1.25_rho0.25,1,1.0,0.75,1.25,0.25,169,128,1.578829050064087,3.8049018383026123,24.980453491210938,21.35927963256836,0.8333507180213928,2060.535888671875,4.993574619293213,0.9354743361473083,0.10050950199365616,0.008764388039708138,0.31676942110061646,2.146418333053589,0.17297349870204926,0.5892524123191833,0.25,1.2579156160354614,2.533747434616089,1.306168794631958,5.028353214263916,True,2.2351741790771484e-05,0.2887018620967865,0.007451862096786499,0.08082690089941025,1.078242540359497,0.03201363980770111,0.26080289483070374,0.5650877356529236
n1_k1_b0.75_s1.25_rho1,1,1.0,0.75,1.25,1.0,169,128,0.6520748138427734,1.3596822023391724,2.9345269203186035,2.854530096054077,0.3797597289085388,2.9665143489837646,1.5970022678375244,0.29834040999412537,0.029258018359541893,0.9841146469116211,0.0063415588811039925,0.017296910285949707,0.05786964297294617,0.15846994519233704,0.0,0.4169687032699585,0.5627515316009521,0.4666384160518646,1.1307200193405151,True,4.889443516731262e-06,0.2825363874435425,0.0012863874435424805,0.03287458047270775,0.21763412654399872,0.011476600542664528,0.027321623638272285,0.5927034616470337
n1_k1_b1.25_s0.75_rho0,1,1.0,1.25,0.75,0.0,169,128,1.1759368181228638,3.1371796131134033,29.541765213012695,20.91461753845215,0.8561477661132812,146.56512451171875,5.433192253112793,0.9600950479507446,0.10578292608261108,0.06647512316703796,0.6097913980484009,4.327528476715088,0.15285460650920868,0.6988599300384521,0.1955128163099289,1.334275722503662,3.700641632080078,2.0155301094055176,10.356788635253906,True,1.4901161193847656e-05,0.8007185459136963,0.01946854591369629,0.13245822489261627,2.8284270763397217,0.08397449553012848,1.2285945415496826,0.5122044086456299
n1_k1_b1.25_s0.75_rho0.25,1,1.0,1.25,0.75,0.25,169,128,0.779177188873291,1.9911116361618042,6.912802219390869,6.261186599731445,0.5386440753936768,8.952614784240723,2.5939784049987793,0.5550984740257263,0.05957454815506935,0.6988300085067749,0.07332082837820053,0.31528162956237793,0.08805835992097855,0.3327212929725647,0.05128205195069313,0.7816606163978577,1.448086142539978,1.0316798686981201,4.205465316772461,True,1.4901161193847656e-05,0.7888610363006592,0.00761103630065918,0.0840643122792244,1.1243650913238525,0.04824404790997505,0.26473695039749146,0.5637246370315552
n1_k1_b1.25_s0.75_rho1,1,1.0,1.25,0.75,1.0,169,128,0.26970359683036804,0.5874900817871094,2.1629130840301514,2.155470848083496,0.3174201250076294,2.1662042140960693,1.2230219841003418,0.1328619420528412,0.012582802213728428,0.996897280216217,0.0016155671328306198,0.004655122756958008,0.02478659152984619,0.07127048075199127,0.0,0.2715926468372345,0.3455401659011841,0.33383530378341675,0.8202411532402039,True,2.7939677238464355e-06,0.7826112508773804,0.001361250877380371,0.033715520054101944,0.2221902459859848,0.019877275452017784,0.046082835644483566,0.6104626059532166
n1_k1_b1.25_s1.25_rho0,1,1.0,1.25,1.25,0.0,169,128,1.3667161464691162,3.8832874298095703,37.01547622680664,26.707996368408203,0.8954384326934814,368.6440124511719,6.044590950012207,1.0084980726242065,0.11244773864746094,0.017366748303174973,0.5235099792480469,3.434206962585449,0.18504047393798828,0.70076584815979,0.2756410241127014,1.2342514991760254,2.936508893966675,2.2506048679351807,10.936795234680176,True,2.2351741790771484e-05,0.800620973110199,0.019370973110198975,0.1271163821220398,2.6557364463806152,0.08434388786554337,1.3629013299942017,0.5066715478897095
n1_k1_b1.25_s1.25_rho0.25,1,1.0,1.25,1.25,0.25,169,128,1.009263277053833,2.4346001148223877,9.129708290100098,7.8089118003845215,0.595834493637085,10.852596282958984,3.0085747241973877,0.6332157254219055,0.06884165108203888,0.6454933285713196,0.07727942615747452,0.3545066714286804,0.10972723364830017,0.37193650007247925,0.07371795177459717,0.710402250289917,1.3941774368286133,1.3138736486434937,5.028361797332764,True,2.2351741790771484e-05,0.7887018322944641,0.007451832294464111,0.08082689344882965,1.078242540359497,0.04683844745159149,0.2608032822608948,0.5468916893005371
n1_k1_b1.25_s1.25_rho1,1,1.0,1.25,1.25,1.0,169,128,0.39260098338127136,0.8335721492767334,2.32830810546875,2.30251145362854,0.331449955701828,2.3335328102111816,1.3281290531158447,0.18140172958374023,0.01773570105433464,0.9947301149368286,0.0023734169080853462,0.006175041198730469,0.03431684523820877,0.09581757336854935,0.0,0.24663850665092468,0.33130350708961487,0.4673728346824646,1.1323299407958984,True,4.889443516731262e-06,0.7825363278388977,0.001286327838897705,0.03287458047270775,0.21763412654399872,0.018490776419639587,0.04501765966415405,0.5836368203163147
n1_k1.5_b0.75_s0.75_rho0,1,1.5,0.75,0.75,0.0,169,128,1.915897011756897,4.244538307189941,61.503074645996094,39.08616256713867,1.1687333583831787,217.08216857910156,7.511057376861572,1.3103575706481934,0.12602351605892181,0.03471074625849724,2.7675135135650635,16.463884353637695,0.32750260829925537,1.4251301288604736,0.4711538553237915,3.8708465099334717,12.19999885559082,2.913220167160034,15.308380126953125,True,4.470348358154297e-05,0.32505419850349426,0.04380419850349426,0.198687344789505,4.242640495300293,0.12178066372871399,2.7643368244171143,0.5514655113220215
n1_k1.5_b0.75_s0.75_rho0.25,1,1.5,0.75,0.75,0.25,169,128,1.7941663265228271,3.6132962703704834,37.47113037109375,29.32970428466797,0.9661587476730347,467.41558837890625,6.1202263832092285,1.092228889465332,0.11322493851184845,0.015633024275302887,0.6899919509887695,4.675551414489746,0.19849196076393127,0.7410641312599182,0.31089743971824646,2.2014057636260986,4.456365585327148,1.5573716163635254,6.154297828674316,True,1.3969838619232178e-05,0.2983747124671936,0.017124712467193604,0.1260964721441269,1.6865475177764893,0.05653747543692589,0.5956531763076782,0.6034518480300903
