config_id,cycles,diffusion_time,coarse_factor,trajectory_samples,mean_absolute_winding,mean_winding_error_from_fine,maximum_winding_error_from_fine,mean_direction_sphere_path_length,mean_direction_path_length_loss,maximum_direction_path_length_loss
n1_k0.5_b1_s1_rho0,1,0.0,1,49,0.08728666603565216,0.0,0.0,0.5890828371047974,0.0,0.0
n1_k0.5_b1_s1_rho0,1,0.0,2,25,0.08728666603565216,1.8684660485490667e-09,2.9802322387695312e-08,0.585226833820343,0.0043734097853302956,0.018242359161376953
n1_k0.5_b1_s1_rho0,1,0.0,4,13,0.08728666603565216,3.0675437745486533e-09,5.960464477539063e-08,0.5691417455673218,0.020509032532572746,0.08107864856719971
n1_k0.5_b1_s1_rho0,1,0.0,8,7,0.08728666603565216,4.068715586669214e-09,5.960464477539063e-08,0.43388211727142334,0.15520069003105164,0.40999019145965576
n1_k0.5_b1_s1_rho0.5,1,0.5,1,49,0.036828551441431046,0.0,0.0,0.2662835121154785,0.0,0.0
n1_k0.5_b1_s1_rho0.5,1,0.5,2,25,0.036828551441431046,3.2596289556430236e-10,7.450580596923828e-09,0.26629194617271423,0.0005435901693999767,0.0024317800998687744
n1_k0.5_b1_s1_rho0.5,1,0.5,4,13,0.036828551441431046,8.847564347824743e-10,7.450580596923828e-09,0.264981746673584,0.001842005760408938,0.008136391639709473
n1_k0.5_b1_s1_rho0.5,1,0.5,8,7,0.03682854771614075,1.5133991837501526e-09,7.450580596923828e-09,0.20618808269500732,0.06009543687105179,0.09882616996765137
n1_k1_b1_s1_rho0,1,0.0,1,49,0.14656543731689453,0.0,0.0,1.3123266696929932,0.0,0.0
n1_k1_b1_s1_rho0,1,0.0,2,25,0.14656543731689453,7.817289038314357e-09,8.940696716308594e-08,1.2975133657455444,0.015015512704849243,0.058176517486572266
n1_k1_b1_s1_rho0,1,0.0,4,13,0.14656543731689453,8.771894322023854e-09,1.1920928955078125e-07,1.2416507005691528,0.07085052132606506,0.2754364013671875
n1_k1_b1_s1_rho0,1,0.0,8,7,0.14656543731689453,8.381903171539307e-09,8.940696716308594e-08,0.991542637348175,0.3207840919494629,0.8929681777954102
n1_k1_b1_s1_rho0.5,1,0.5,1,49,0.07134156674146652,0.0,0.0,0.5471543669700623,0.0,0.0
n1_k1_b1_s1_rho0.5,1,0.5,2,25,0.07134156674146652,5.122274271407434e-10,7.450580596923828e-09,0.5449221730232239,0.0023532877676188946,0.006388425827026367
n1_k1_b1_s1_rho0.5,1,0.5,4,13,0.07134156674146652,9.313225746154785e-10,7.450580596923828e-09,0.5381108522415161,0.00915766041725874,0.02704751491546631
n1_k1_b1_s1_rho0.5,1,0.5,8,7,0.07134156674146652,2.2118911147117615e-09,2.9802322387695312e-08,0.43702346086502075,0.11013086140155792,0.17777800559997559
