fixture_group,fixture,graph6,vertices,edges,state_count,local_maximum_count,three_colorable_state_count,three_colorable_nonzero_count,non_three_colorable_nonzero_count,expected_nonzero_count,expected_local_maximum_count,odd_wheel_formula_passed,all_nonzero_k3,max_component_chromatic_bucket
odd_wheel,odd_wheel_W4,C~,4,6,64,2,1,1,0,1,2,True,True,4
odd_wheel,odd_wheel_W6,E|fG,6,10,1024,6,5,5,0,5,6,True,True,4
odd_wheel,odd_wheel_W8,G|eKMC,8,14,16384,22,21,21,0,21,22,True,True,4
odd_wheel,odd_wheel_W10,I|eKKE@oG,10,18,262144,86,85,85,0,85,86,True,True,4
odd_wheel,odd_wheel_W12,K|eKKE@_K?w@,12,22,4194304,342,341,341,0,341,342,True,True,4
odd_wheel,odd_wheel_W14,M|eKKE@_K?o@_@o?_,14,26,67108864,1366,1365,1365,0,1365,1366,True,True,4
atlas_control,atlas_18,C~,4,6,64,2,1,1,0,,,,True,4
atlas_control,atlas_51,Dn{,5,9,512,4,1,1,2,,,,False,4
atlas_control,atlas_187,Ehfw,6,10,1024,6,5,5,0,,,,True,4
atlas_control,atlas_196,ER~g,6,11,2048,8,4,4,3,,,,False,4
atlas_control,atlas_202,Ep~w,6,12,4096,8,1,1,6,,,,False,4
atlas_control,atlas_998,FL~Cg,7,12,4096,10,2,2,7,,,,False,4
atlas_control,atlas_1005,FEl~?,7,12,4096,14,6,6,7,,,,False,4
atlas_control,atlas_1006,F`urg,7,12,4096,8,1,1,6,,,,False,4
atlas_control,atlas_1078,Fhfww,7,13,8192,12,5,5,6,,,,False,4
atlas_control,atlas_1082,Fls{o,7,13,8192,14,3,3,10,,,,False,4
atlas_control,atlas_1091,FltjG,7,13,8192,14,3,3,10,,,,False,4
atlas_control,atlas_1095,FBnew,7,13,8192,20,6,6,13,,,,False,4
atlas_control,atlas_1097,FhNvO,7,13,8192,16,3,3,12,,,,False,4
atlas_control,atlas_1101,FJe~O,7,13,8192,20,6,6,13,,,,False,4
atlas_control,atlas_1104,Fb]lg,7,13,8192,22,2,2,19,,,,False,>4
atlas_control,atlas_1141,FEynw,7,14,16384,16,4,4,11,,,,False,4
atlas_control,atlas_1142,FnzM_,7,14,16384,16,4,4,11,,,,False,4
atlas_control,atlas_1145,Fbk}w,7,14,16384,16,4,4,11,,,,False,4
atlas_control,atlas_1146,FBn^W,7,14,16384,24,5,5,18,,,,False,4
atlas_control,atlas_1150,Feg~w,7,14,16384,16,4,4,11,,,,False,4
atlas_control,atlas_1154,Ffk}W,7,14,16384,24,5,5,18,,,,False,4
atlas_control,atlas_1167,FJnVW,7,14,16384,37,3,3,33,,,,False,>4
atlas_control,atlas_1186,F~nR_,7,15,32768,16,1,1,14,,,,False,4
atlas_control,atlas_1187,Fv|Xo,7,15,32768,16,1,1,14,,,,False,4
atlas_control,atlas_1190,Fek~w,7,15,32768,16,1,1,14,,,,False,4
atlas_control,atlas_1205,FJn^W,7,15,32768,52,4,4,47,,,,False,4
atlas_control,atlas_1212,Fhf~o,7,15,32768,72,5,5,66,,,,False,>4
