fixture_group,fixture,vertices,edges,state_index,state_hex,state_popcount,nullity,component_vertices,component_edges,component_chromatic_bucket,three_colorable,component_is_k3,zero_state
odd_wheel,odd_wheel_W4,4,6,0,0x0,0,4,4,6,4,False,False,True
odd_wheel,odd_wheel_W4,4,6,63,0x3f,6,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W6,6,10,0,0x0,0,6,6,10,4,False,False,True
odd_wheel,odd_wheel_W6,6,10,999,0x3e7,8,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W6,6,10,1006,0x3ee,8,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W6,6,10,1011,0x3f3,8,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W6,6,10,1017,0x3f9,8,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W6,6,10,1020,0x3fc,8,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,0,0x0,0,8,8,14,4,False,False,True
odd_wheel,odd_wheel_W8,8,14,16263,0x3f87,10,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16270,0x3f8e,10,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16275,0x3f93,10,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16281,0x3f99,10,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16284,0x3f9c,10,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16294,0x3fa6,10,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16303,0x3faf,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16306,0x3fb2,10,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16312,0x3fb8,10,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16317,0x3fbd,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16323,0x3fc3,10,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16329,0x3fc9,10,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16332,0x3fcc,10,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16343,0x3fd7,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16350,0x3fde,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16353,0x3fe1,10,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16356,0x3fe4,10,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16363,0x3feb,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16368,0x3ff0,10,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16373,0x3ff5,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W8,8,14,16378,0x3ffa,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,0,0x0,0,10,10,18,4,False,False,True
odd_wheel,odd_wheel_W10,10,18,261639,0x3fe07,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261646,0x3fe0e,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261651,0x3fe13,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261657,0x3fe19,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261660,0x3fe1c,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261670,0x3fe26,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261679,0x3fe2f,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261682,0x3fe32,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261688,0x3fe38,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261693,0x3fe3d,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261699,0x3fe43,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261705,0x3fe49,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261708,0x3fe4c,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261719,0x3fe57,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261726,0x3fe5e,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261729,0x3fe61,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261732,0x3fe64,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261739,0x3fe6b,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261744,0x3fe70,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261749,0x3fe75,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261754,0x3fe7a,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261766,0x3fe86,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261775,0x3fe8f,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261778,0x3fe92,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261784,0x3fe98,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261789,0x3fe9d,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261799,0x3fea7,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261806,0x3feae,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261811,0x3feb3,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261817,0x3feb9,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261820,0x3febc,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261826,0x3fec2,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261832,0x3fec8,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261837,0x3fecd,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261846,0x3fed6,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261855,0x3fedf,16,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261856,0x3fee0,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261861,0x3fee5,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261866,0x3feea,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261873,0x3fef1,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261876,0x3fef4,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261883,0x3fefb,16,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261891,0x3ff03,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261897,0x3ff09,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261900,0x3ff0c,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261911,0x3ff17,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261918,0x3ff1e,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261921,0x3ff21,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261924,0x3ff24,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261931,0x3ff2b,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261936,0x3ff30,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261941,0x3ff35,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261946,0x3ff3a,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261959,0x3ff47,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261966,0x3ff4e,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261971,0x3ff53,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261977,0x3ff59,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261980,0x3ff5c,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261990,0x3ff66,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,261999,0x3ff6f,16,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262002,0x3ff72,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262008,0x3ff78,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262013,0x3ff7d,16,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262017,0x3ff81,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262020,0x3ff84,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262027,0x3ff8b,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262032,0x3ff90,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262037,0x3ff95,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262042,0x3ff9a,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262051,0x3ffa3,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262057,0x3ffa9,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262060,0x3ffac,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262071,0x3ffb7,16,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262078,0x3ffbe,16,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262080,0x3ffc0,12,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262085,0x3ffc5,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262090,0x3ffca,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262097,0x3ffd1,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262100,0x3ffd4,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262107,0x3ffdb,16,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262114,0x3ffe2,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262120,0x3ffe8,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262125,0x3ffed,16,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262134,0x3fff6,16,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W10,10,18,262143,0x3ffff,18,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,0,0x0,0,12,12,22,4,False,False,True
odd_wheel,odd_wheel_W12,12,22,4192263,0x3ff807,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192270,0x3ff80e,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192275,0x3ff813,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192281,0x3ff819,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192284,0x3ff81c,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192294,0x3ff826,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192303,0x3ff82f,16,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192306,0x3ff832,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192312,0x3ff838,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192317,0x3ff83d,16,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192323,0x3ff843,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192329,0x3ff849,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192332,0x3ff84c,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192343,0x3ff857,16,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192350,0x3ff85e,16,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192353,0x3ff861,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192356,0x3ff864,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192363,0x3ff86b,16,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192368,0x3ff870,14,3,3,3,3,True,True,False
odd_wheel,odd_wheel_W12,12,22,4192373,0x3ff875,16,3,3,3,3,True,True,False
