atlas_index,vertex_count,edge_count,observable,spectrum_minimum,negative_coefficient_count,translation_kernel_psd
1,1,0,2^nullity,2,0,True
1,1,0,3^nullity,3,0,True
1,1,0,strict_maximum_indicator,1,0,True
3,2,1,2^nullity,2,0,True
3,2,1,3^nullity,6,0,True
3,2,1,strict_maximum_indicator,1,0,True
6,3,2,2^nullity,2,0,True
6,3,2,3^nullity,12,0,True
6,3,2,strict_maximum_indicator,1,0,True
7,3,3,2^nullity,0,0,True
7,3,3,3^nullity,6,0,True
7,3,3,strict_maximum_indicator,1,0,True
13,4,3,2^nullity,2,0,True
13,4,3,3^nullity,24,0,True
13,4,3,strict_maximum_indicator,1,0,True
14,4,3,2^nullity,2,0,True
14,4,3,3^nullity,24,0,True
14,4,3,strict_maximum_indicator,1,0,True
15,4,4,2^nullity,0,0,True
15,4,4,3^nullity,12,0,True
15,4,4,strict_maximum_indicator,1,0,True
16,4,4,2^nullity,0,0,True
16,4,4,3^nullity,24,0,True
16,4,4,strict_maximum_indicator,0,0,True
17,4,5,2^nullity,0,0,True
17,4,5,3^nullity,6,0,True
17,4,5,strict_maximum_indicator,1,0,True
18,4,6,2^nullity,0,0,True
18,4,6,3^nullity,6,0,True
18,4,6,strict_maximum_indicator,0,0,True
29,5,4,2^nullity,2,0,True
29,5,4,3^nullity,48,0,True
29,5,4,strict_maximum_indicator,1,0,True
30,5,4,2^nullity,2,0,True
30,5,4,3^nullity,48,0,True
30,5,4,strict_maximum_indicator,1,0,True
31,5,4,2^nullity,2,0,True
31,5,4,3^nullity,48,0,True
31,5,4,strict_maximum_indicator,1,0,True
34,5,5,2^nullity,0,0,True
34,5,5,3^nullity,24,0,True
34,5,5,strict_maximum_indicator,1,0,True
35,5,5,2^nullity,0,0,True
35,5,5,3^nullity,24,0,True
35,5,5,strict_maximum_indicator,1,0,True
36,5,5,2^nullity,0,0,True
36,5,5,3^nullity,24,0,True
36,5,5,strict_maximum_indicator,1,0,True
37,5,5,2^nullity,0,0,True
37,5,5,3^nullity,48,0,True
37,5,5,strict_maximum_indicator,0,0,True
38,5,5,2^nullity,0,0,True
38,5,5,3^nullity,30,0,True
38,5,5,strict_maximum_indicator,1,0,True
40,5,6,2^nullity,0,0,True
40,5,6,3^nullity,12,0,True
40,5,6,strict_maximum_indicator,1,0,True
41,5,6,2^nullity,0,0,True
41,5,6,3^nullity,12,0,True
41,5,6,strict_maximum_indicator,1,0,True
42,5,6,2^nullity,0,0,True
42,5,6,3^nullity,12,0,True
42,5,6,strict_maximum_indicator,1,0,True
43,5,6,2^nullity,0,0,True
43,5,6,3^nullity,24,0,True
43,5,6,strict_maximum_indicator,0,0,True
44,5,6,2^nullity,0,0,True
44,5,6,3^nullity,24,0,True
44,5,6,strict_maximum_indicator,-1,24,False
45,5,7,2^nullity,0,0,True
45,5,7,3^nullity,12,0,True
45,5,7,strict_maximum_indicator,0,0,True
46,5,7,2^nullity,0,0,True
46,5,7,3^nullity,6,0,True
46,5,7,strict_maximum_indicator,1,0,True
47,5,7,2^nullity,0,0,True
47,5,7,3^nullity,6,0,True
47,5,7,strict_maximum_indicator,1,0,True
48,5,7,2^nullity,0,0,True
48,5,7,3^nullity,-6,2,False
48,5,7,strict_maximum_indicator,-2,16,False
49,5,8,2^nullity,0,0,True
49,5,8,3^nullity,-30,2,False
49,5,8,strict_maximum_indicator,0,0,True
50,5,8,2^nullity,0,0,True
50,5,8,3^nullity,-12,4,False
50,5,8,strict_maximum_indicator,-2,32,False
51,5,9,2^nullity,0,0,True
51,5,9,3^nullity,-30,24,False
51,5,9,strict_maximum_indicator,0,0,True
77,6,5,2^nullity,2,0,True
77,6,5,3^nullity,96,0,True
77,6,5,strict_maximum_indicator,1,0,True
78,6,5,2^nullity,2,0,True
78,6,5,3^nullity,96,0,True
78,6,5,strict_maximum_indicator,1,0,True
79,6,5,2^nullity,2,0,True
79,6,5,3^nullity,96,0,True
79,6,5,strict_maximum_indicator,1,0,True
80,6,5,2^nullity,2,0,True
80,6,5,3^nullity,96,0,True
80,6,5,strict_maximum_indicator,1,0,True
81,6,5,2^nullity,2,0,True
81,6,5,3^nullity,96,0,True
81,6,5,strict_maximum_indicator,1,0,True
83,6,5,2^nullity,2,0,True
83,6,5,3^nullity,96,0,True
83,6,5,strict_maximum_indicator,1,0,True
92,6,6,2^nullity,0,0,True
92,6,6,3^nullity,48,0,True
92,6,6,strict_maximum_indicator,1,0,True
93,6,6,2^nullity,0,0,True
93,6,6,3^nullity,48,0,True
93,6,6,strict_maximum_indicator,1,0,True
94,6,6,2^nullity,0,0,True
94,6,6,3^nullity,48,0,True
94,6,6,strict_maximum_indicator,1,0,True
95,6,6,2^nullity,0,0,True
95,6,6,3^nullity,48,0,True
95,6,6,strict_maximum_indicator,1,0,True
96,6,6,2^nullity,0,0,True
96,6,6,3^nullity,96,0,True
96,6,6,strict_maximum_indicator,0,0,True
97,6,6,2^nullity,0,0,True
97,6,6,3^nullity,48,0,True
97,6,6,strict_maximum_indicator,1,0,True
98,6,6,2^nullity,0,0,True
98,6,6,3^nullity,96,0,True
98,6,6,strict_maximum_indicator,0,0,True
99,6,6,2^nullity,0,0,True
99,6,6,3^nullity,96,0,True
99,6,6,strict_maximum_indicator,0,0,True
100,6,6,2^nullity,0,0,True
100,6,6,3^nullity,48,0,True
100,6,6,strict_maximum_indicator,1,0,True
102,6,6,2^nullity,0,0,True
102,6,6,3^nullity,48,0,True
102,6,6,strict_maximum_indicator,1,0,True
103,6,6,2^nullity,0,0,True
103,6,6,3^nullity,96,0,True
103,6,6,strict_maximum_indicator,0,0,True
104,6,6,2^nullity,0,0,True
104,6,6,3^nullity,60,0,True
104,6,6,strict_maximum_indicator,1,0,True
105,6,6,2^nullity,0,0,True
105,6,6,3^nullity,72,0,True
105,6,6,strict_maximum_indicator,0,0,True
111,6,7,2^nullity,0,0,True
111,6,7,3^nullity,24,0,True
111,6,7,strict_maximum_indicator,1,0,True
112,6,7,2^nullity,0,0,True
112,6,7,3^nullity,24,0,True
112,6,7,strict_maximum_indicator,1,0,True
113,6,7,2^nullity,0,0,True
113,6,7,3^nullity,24,0,True
113,6,7,strict_maximum_indicator,1,0,True
114,6,7,2^nullity,0,0,True
114,6,7,3^nullity,24,0,True
114,6,7,strict_maximum_indicator,1,0,True
115,6,7,2^nullity,0,0,True
115,6,7,3^nullity,24,0,True
115,6,7,strict_maximum_indicator,1,0,True
117,6,7,2^nullity,0,0,True
117,6,7,3^nullity,24,0,True
117,6,7,strict_maximum_indicator,1,0,True
118,6,7,2^nullity,0,0,True
118,6,7,3^nullity,48,0,True
