pair_count,catalan_dimension,loop_weight,reflection_involution,feature_factorization_exact,rank,determinant,minimum_eigenvalue,positive_definite_numerically
1,1,2,True,True,1,2,2.0,True
1,1,3,True,True,1,3,3.0,True
2,2,2,True,True,2,12,2.0,True
2,2,3,True,True,2,72,6.0,True
3,5,2,True,True,5,5184,1.151142198203893,True
3,5,3,True,True,5,6967296,9.403620206015638,True
4,14,2,True,True,14,8358844170240,0.4182630518239102,True
4,14,3,True,True,14,17014466127798295634903040,12.584844477969657,True
5,42,2,True,True,42,4205050186068782188175455727620246732800000000,0.10302863730638634,True
5,42,3,True,True,42,5487619259005951457226961592132964755895679909230484846369988963588886426311277202636800000000,15.12565941529656,True
