type_simplex_code,tile_type,simplex_code,defect_0,defect_1,defect_2,defect_3,defect_sum,defect_sum_error_from_4pi,bounded_relation_residual
0,0,0,4.331641824431387,1.9191380357133507,2.0418724621060633,4.273718292108372,12.566370614359172,0.0,0.003875037184810437
1,0,1,4.307676071438842,1.978763453310835,1.964589029553676,4.315342060055817,12.56637061435917,1.7763568394002505e-15,0.0010358496243529334
2,0,2,4.33679405855357,1.9107030060666954,2.0476404341709458,4.27123311556796,12.566370614359172,0.0,0.0029100267614524528
3,0,3,4.315342060055817,1.964589029553677,1.9787634533108358,4.307676071438842,12.566370614359172,0.0,0.0010358496243532162
4,0,4,4.27123311556796,2.0476404341709458,1.9107030060666954,4.33679405855357,12.56637061435917,1.7763568394002505e-15,0.0029100267614524528
5,0,5,4.273718292108372,2.0418724621060633,1.9191380357133507,4.331641824431386,12.566370614359172,0.0,0.003875037184809306
6,1,0,4.785039516340321,1.9191380357133507,1.8654930793185525,3.9966999829869483,12.566370614359172,0.0,0.0010012408936627896
7,1,1,4.771981799959512,1.978763453310835,1.7690516274285528,4.046573733660271,12.56637061435917,1.7763568394002505e-15,0.0027709261727110234
8,1,2,4.158632647447831,2.1006504044818026,2.2340518280025616,4.073035734426976,12.566370614359172,0.0,0.0016349506605386002
9,1,3,4.046573733660271,1.7690516274285528,1.9787634533108358,4.771981799959512,12.566370614359172,0.0,0.0027709261727118717
10,1,4,4.073035734426976,2.2340518280025616,2.1006504044818026,4.158632647447831,12.566370614359172,0.0,0.0016349506605386002
11,1,5,3.9966999829869483,1.8654930793185525,1.9191380357133507,4.785039516340321,12.566370614359172,0.0,0.0010012408936627896
12,2,0,4.154605332202907,2.106753966187405,2.2263736316397242,4.078637684329136,12.566370614359172,0.0,0.0015154609818577242
13,2,1,4.040265012275821,1.783370771616834,1.964589029553676,4.7781458009128395,12.56637061435917,1.7763568394002505e-15,0.001630607534205139
14,2,2,4.789860314673902,1.9107030060666954,1.8694499145188175,3.9963573790997575,12.566370614359172,0.0,0.0015844813345791177
15,2,3,4.7781458009128395,1.964589029553677,1.783370771616835,4.040265012275821,12.566370614359172,0.0,0.0016306075342040081
16,2,4,3.9963573790997575,1.8694499145188175,1.9107030060666954,4.789860314673902,12.566370614359172,0.0,0.0015844813345791177
17,2,5,4.078637684329136,2.2263736316397242,2.106753966187405,4.154605332202907,12.566370614359172,0.0,0.0015154609818577242
18,3,0,4.558619592628956,2.106753966187405,2.0418724621060633,3.859124593436748,12.566370614359172,0.0,0.002632094457355346
19,3,1,4.504182079671005,1.783370771616834,1.7690516274285528,4.509766135642779,12.566370614359169,3.552713678800501e-15,0.0003872277528179671
20,3,2,4.562803220644102,2.1006504044818026,2.0476404341709458,3.8552765550623227,12.566370614359174,1.7763568394002505e-15,0.001959909055591529
21,3,3,4.509766135642779,1.7690516274285528,1.783370771616834,4.504182079671006,12.56637061435917,1.7763568394002505e-15,0.0003872277528176844
22,3,4,3.855276555062323,2.0476404341709458,2.1006504044818026,4.562803220644102,12.566370614359172,0.0,0.0019599090555918117
23,3,5,3.859124593436748,2.0418724621060633,2.106753966187405,4.558619592628957,12.566370614359172,0.0,0.0026320944573547805
24,4,0,4.04277733351654,1.7421159385674807,2.0418724621060633,4.7396048801690895,12.566370614359172,0.0,0.0006095982268138311
25,4,1,4.100248819563356,2.184981286792963,2.171234292265443,4.109906215737411,12.566370614359172,0.0,0.0006508797932144321
26,4,2,4.048711556802445,1.731739810834254,2.0476404341709458,4.738278812551529,12.566370614359174,1.7763568394002505e-15,0.001658506804909097
27,4,3,4.109906215737411,2.171234292265443,2.184981286792963,4.100248819563356,12.566370614359174,1.7763568394002505e-15,0.0006508797932144321
28,4,4,4.7382788125515285,2.0476404341709458,1.731739810834254,4.048711556802445,12.566370614359172,0.0,0.0016585068049088142
29,4,5,4.7396048801690895,2.0418724621060633,1.7421159385674816,4.04277733351654,12.566370614359174,1.7763568394002505e-15,0.0006095982268143966
30,5,0,4.49924744086608,1.7421159385674807,1.8654930793185525,4.459514155607058,12.56637061435917,1.7763568394002505e-15,0.00021040931345984198
31,5,1,4.519401344469991,2.184981286792963,1.964589029553676,3.89739895354254,12.56637061435917,1.7763568394002505e-15,0.0010959239687638408
32,5,2,3.9298836253379883,1.9107030060666954,2.2340518280025616,4.491732154951926,12.56637061435917,1.7763568394002505e-15,0.00040903613264655893
33,5,3,3.89739895354254,1.964589029553677,2.184981286792963,4.519401344469992,12.566370614359172,0.0,0.0010959239687635583
34,5,4,4.491732154951926,2.2340518280025616,1.9107030060666954,3.929883625337988,12.56637061435917,1.7763568394002505e-15,0.00040903613264655893
35,5,5,4.459514155607058,1.8654930793185525,1.7421159385674816,4.49924744086608,12.566370614359172,0.0,0.00021040931346040742
36,6,0,3.9251868559083416,1.9191380357133507,2.2263736316397242,4.495672091097757,12.566370614359172,0.0,0.0005695223820721544
37,6,1,3.8888191179510763,1.9787634533108358,2.171234292265443,4.527553750831818,12.566370614359172,0.0,0.0023509326217820816
