sectional_curvature,separation,mass,speed,exact_coupling_force,linear_small_distance_approximation,absolute_approximation_error
-4.0,0.05,1.0,1.0,-0.1998334998315199,-0.2,0.00016650016848010485
-4.0,0.25,1.0,1.0,-0.9796746496148365,-1.0,0.020325350385163476
-4.0,0.5,1.0,1.0,-1.848468629040039,-2.0,0.15153137095996105
-1.0,0.05,1.0,1.0,-0.04998958593684138,-0.05,1.041406315862442e-05
-1.0,0.25,1.0,1.0,-0.24870600354319242,-0.25,0.0012939964568075835
-1.0,0.5,1.0,1.0,-0.48983732480741826,-0.5,0.010162675192581738
-0.25,0.05,1.0,1.0,-0.012499348999020865,-0.0125,6.510009791359933e-07
-0.25,0.25,1.0,1.0,-0.062418746747512514,-0.0625,8.125325248748566e-05
-0.25,0.5,1.0,1.0,-0.12435300177159621,-0.125,0.0006469982284037917
0.0,0.05,1.0,1.0,0.0,0.0,0.0
0.0,0.25,1.0,1.0,0.0,0.0,0.0
0.0,0.5,1.0,1.0,0.0,0.0,0.0
0.25,0.05,1.0,1.0,0.012500651082359345,0.0125,6.510823593441212e-07
0.25,0.25,1.0,1.0,0.06258150756627502,0.0625,8.150756627502143e-05
0.25,0.5,1.0,1.0,0.12565513657513097,0.125,0.0006551365751309712
1.0,0.05,1.0,1.0,0.050010419271492294,0.05,1.0419271492291549e-05
1.0,0.25,1.0,1.0,0.25131027315026194,0.25,0.0013102731502619425
1.0,0.5,1.0,1.0,0.5106838424420725,0.5,0.010683842442072544
4.0,0.05,1.0,1.0,0.20016683350215517,0.2,0.0001668335021551559
4.0,0.25,1.0,1.0,1.021367684884145,1.0,0.02136768488414509
4.0,0.5,1.0,1.0,2.185209959375162,2.0,0.18520995937516194
