size,blue_cell_count,blue_y_count,yellow_y_count
1,0,0,1
1,1,1,0
2,0,0,1
2,1,0,3
2,2,3,0
2,3,1,0
3,0,0,1
3,1,0,6
3,2,0,15
3,3,10,10
3,4,15,0
3,5,6,0
3,6,1,0
4,0,0,1
4,1,0,10
4,2,0,45
4,3,0,120
4,4,32,178
4,5,126,126
4,6,178,32
4,7,120,0
4,8,45,0
4,9,10,0
4,10,1,0
5,0,0,1
5,1,0,15
5,2,0,105
5,3,0,455
5,4,0,1365
5,5,96,2907
5,6,741,4264
5,7,2361,4074
5,8,4074,2361
5,9,4264,741
5,10,2907,96
5,11,1365,0
5,12,455,0
5,13,105,0
5,14,15,0
5,15,1,0
6,0,0,1
6,1,0,21
6,2,0,210
6,3,0,1330
6,4,0,5985
6,5,0,20349
6,6,272,53992
6,7,3462,112818
6,8,19608,183882
6,9,65082,228848
6,10,141042,211674
6,11,211674,141042
6,12,228848,65082
6,13,183882,19608
6,14,112818,3462
6,15,53992,272
6,16,20349,0
6,17,5985,0
6,18,1330,0
6,19,210,0
6,20,21,0
6,21,1,0
